market,shock,safeguard,participation,similarity,realised_volatility,maximum_drawdown,mean_pairwise_correlation,normalised_liquidity_deterioration,recovery_time,peak_herding,peak_asset_herding
amm,liquidity,liquidity_buffer,0.25,0.9,0.01670411815434425,0.060778177656810296,-0.06888926450605234,0.2555511608318932,2.3,0.4588329712883409,1.0
amm,liquidity,liquidity_buffer,0.5,0.0,0.014785739186496649,0.06687280594458003,0.05298395416155123,0.2542391854987452,4.6,0.3848392822512196,0.64
amm,liquidity,liquidity_buffer,0.5,0.5,0.01974745754707914,0.06945998656715449,-0.06633140394397052,0.25422103561083687,1.4,0.39777802130899753,1.0
amm,liquidity,liquidity_buffer,0.5,0.9,0.02755889643735044,0.07252111672432429,-0.13826493631373876,0.2541972839770098,5.6,0.3754905050255671,1.0
amm,liquidity,liquidity_buffer,0.75,0.0,0.01531259127966895,0.06130706458112454,-0.01138687377065479,0.2539106976837018,7.7,0.34079924321881516,0.688
amm,liquidity,liquidity_buffer,0.75,0.5,0.02646352977275926,0.06600254386269055,-0.1472294627415704,0.25390049980439283,6.9,0.34750428609707856,1.0
amm,liquidity,liquidity_buffer,0.75,0.9,0.04075179218835444,0.0739893617886831,-0.18437483380425262,0.25387012505444567,7.7,0.3615096231018252,1.0
amm,liquidity,none,0.0,0.0,0.01207256025602047,0.05741483046666407,0.13641366895144819,0.2548251671042735,3.2,0.0,0.0
amm,liquidity,none,0.0,0.5,0.01207256025602047,0.05741483046666407,0.13641366895144819,0.2548251671042735,3.2,0.0,0.0
amm,liquidity,none,0.0,0.9,0.01207256025602047,0.05741483046666407,0.13641366895144819,0.2548251671042735,3.2,0.0,0.0
amm,liquidity,none,0.25,0.0,0.01155866988081682,0.0592326282047281,0.07057317427886982,0.2555716150854054,1.5,0.4463371098283311,0.568
amm,liquidity,none,0.25,0.5,0.01350435479044233,0.05983741732771709,-0.002183480076955401,0.25555867562209456,4.3,0.4568345393435109,1.0
amm,liquidity,none,0.25,0.9,0.01670411815434425,0.060778177656810296,-0.06888926450605234,0.2555511608318932,2.3,0.4588329712883409,1.0
amm,liquidity,none,0.5,0.0,0.014785739186496649,0.06687280594458003,0.05298395416155123,0.2542391854987452,4.6,0.3848392822512196,0.64
amm,liquidity,none,0.5,0.5,0.01974745754707914,0.06945998656715449,-0.06633140394397052,0.25422103561083687,1.4,0.39777802130899753,1.0
amm,liquidity,none,0.5,0.9,0.02755889643735044,0.07252111672432429,-0.13826493631373876,0.2541972839770098,5.6,0.3754905050255671,1.0
amm,liquidity,none,0.75,0.0,0.01531259127966895,0.06130706458112454,-0.01138687377065479,0.2539106976837018,7.7,0.34079924321881516,0.688
