market,shock,safeguard,participation,similarity,realised_volatility,maximum_drawdown,mean_pairwise_correlation,normalised_liquidity_deterioration,recovery_time,peak_herding,peak_asset_herding
amm,liquidity,none,0.0,0.5,0.01129877755321141,0.0583893950380636,0.0951901542221206,0.256477250903709,6.3,0.0,0.0
amm,liquidity,none,0.0,0.9,0.01129877755321141,0.0583893950380636,0.0951901542221206,0.256477250903709,6.3,0.0,0.0
amm,liquidity,none,0.25,0.0,0.01170074808224133,0.06849555005075367,0.05854903659158913,0.2574726806826061,3.6,0.47375171577409664,0.584
amm,liquidity,none,0.25,0.5,0.013449537521778628,0.06914827819547878,-0.013307888902284288,0.2574649000780516,1.1,0.4425675936403314,1.0
amm,liquidity,none,0.25,0.9,0.01668176399797783,0.07014549225603141,-0.07723644947754432,0.2574552157737002,1.6,0.46421313505821676,1.0
amm,liquidity,none,0.5,0.0,0.013540966265261339,0.06717183251733559,0.038004133385378766,0.25486994392897916,2.3,0.39709521292429173,0.5573333333333333
amm,liquidity,none,0.5,0.5,0.019107320202201,0.06931196015665206,-0.08464305009970179,0.2548616501497951,3.7,0.3861066415277943,1.0
amm,liquidity,none,0.5,0.9,0.027172438302153427,0.0719558761542974,-0.14667717805284877,0.254854330129065,2.2,0.37717663884465014,1.0
amm,liquidity,none,0.75,0.0,0.01476551308580438,0.06218566105020364,-0.029213530341675998,0.2557125183294677,3.7,0.34609849759476347,0.6471111111111111
amm,liquidity,none,0.75,0.5,0.02560822998616873,0.06579100563905807,-0.15503998696172103,0.25575326617362826,2.9,0.3440134045577325,1.0
amm,liquidity,none,0.75,0.9,0.03970944211890533,0.07256343916125904,-0.18908219115971672,0.2556969935910664,4.8,0.33717481840687513,1.0
amm,liquidity,position_limit,0.0,0.0,0.01129877755321141,0.0583893950380636,0.0951901542221206,0.256477250903709,6.3,0.0,0.0
amm,liquidity,position_limit,0.0,0.5,0.01129877755321141,0.0583893950380636,0.0951901542221206,0.256477250903709,6.3,0.0,0.0
amm,liquidity,position_limit,0.0,0.9,0.01129877755321141,0.0583893950380636,0.0951901542221206,0.256477250903709,6.3,0.0,0.0
amm,liquidity,position_limit,0.25,0.0,0.011692840463724359,0.06848029923419134,0.05602928316356365,0.2574621013233231,3.6,0.44892130561144644,0.5866666666666667
amm,liquidity,position_limit,0.25,0.5,0.01345123729712649,0.0691240958997437,-0.013887162515106818,0.25746232795715784,0.9,0.44691285187493524,1.0
amm,liquidity,position_limit,0.25,0.9,0.016640539750568378,0.07018238177560633,-0.07706598989333394,0.25744014348652355,1.6,0.49723050895481125,1.0
amm,liquidity,position_limit,0.5,0.0,0.01355843093578302,0.06719145606075225,0.03720267782116336,0.2548452770132785,3.0,0.38431969781723474,0.5573333333333333
amm,liquidity,position_limit,0.5,0.5,0.01910968830756966,0.0693223242151289,-0.08459908234780834,0.2548537914601135,3.5,0.3795733431364791,1.0
