Date,SPY_QQQ,SPY_GLD,SPY_TLT,SPY_USO,QQQ_GLD,QQQ_TLT,QQQ_USO,GLD_TLT,GLD_USO,TLT_USO
2016-09-01,0.9599282212581453,-0.5717293660024871,-0.4831529527235585,0.46503998150632847,-0.5733848290873942,-0.46784837396879664,0.36924847556687496,0.6237147870883976,-0.2729214835394651,-0.4289791865901461
2016-09-02,0.9594341239158823,-0.5577062763844812,-0.48593703373230995,0.4676851108367309,-0.5641164106459997,-0.46648566830839416,0.3689968615373029,0.5954665643951341,-0.25311683128813717,-0.43460507251064096
2016-09-06,0.957778472815519,-0.5398262320550841,-0.47662024429839217,0.4548992081735377,-0.5391120793613793,-0.45296382078421715,0.35531099662536964,0.5994689830640269,-0.22575123398977595,-0.41801069276750796
2016-09-07,0.9568764714916312,-0.5337328306960364,-0.4736594757181967,0.4517851779920998,-0.5332322989392472,-0.44980768763297246,0.3516505532196487,0.5978935172957864,-0.2266290623827083,-0.41703384507745833
2016-09-08,0.956057301782405,-0.5277642017947237,-0.4550801336627716,0.42827083709238745,-0.5205080559156882,-0.41845015678047176,0.31710222063078014,0.5996766286465969,-0.23695399254410943,-0.44182221806972377
2016-09-09,0.9622246803455935,-0.44788213284123607,-0.3110267913942784,0.454004193871963,-0.4472120712105391,-0.2874956667584089,0.3493744090971177,0.5997051353989045,-0.2103540935896787,-0.37913428481046213
2016-09-12,0.9639351926173787,-0.44191084610078757,-0.30606513048340084,0.46033388385745955,-0.44169356241482605,-0.28108760298073787,0.35437554449134706,0.6162557259276845,-0.2355270192554453,-0.3735782187470965
2016-09-13,0.9664789119978706,-0.40430962248258384,-0.2651615026762634,0.5051368198280686,-0.4078035900357481,-0.2733047580109133,0.42663266688720936,0.6438768873379518,-0.27037282966634674,-0.3356843114625474
2016-09-14,0.9647893792863157,-0.4001969846147613,-0.2557349936253036,0.4971098219397319,-0.40204850863598784,-0.2654457662712732,0.41211934238057646,0.6413950937763397,-0.26594992215189767,-0.32277492517223455
2016-09-15,0.9647498374337146,-0.411826060540305,-0.2600106321137914,0.49757472978527706,-0.417629712712716,-0.27121734484636306,0.41212396920765226,0.6485621468197489,-0.2758602541628908,-0.3248203259254929
2016-09-16,0.9642157962487349,-0.408231135860357,-0.2646896760737815,0.498780133842076,-0.41671633176213607,-0.27170785313802376,0.4111899957792264,0.639571529921406,-0.27321026720700003,-0.328293260977783
2016-09-19,0.9605482238436928,-0.3993869243986826,-0.2403551907226471,0.48807618038108413,-0.40860263520513274,-0.24520013170306548,0.39758693011549373,0.6336379870301903,-0.26469773103605015,-0.31432252607457556
2016-09-20,0.941453323297431,-0.07204860672915551,-0.03384581227477441,0.43170868042732646,-0.06473953948325857,-0.02831332428497397,0.3186719430800392,0.5478935722370647,-0.14121571806131689,-0.24008604212027052
2016-09-21,0.9328892527932579,0.005230791626705784,0.14301164857776213,0.44846566386579734,-0.00036786005412905065,0.15071913940655401,0.32395244290342057,0.5701558951734926,-0.08389640297481898,-0.19082490787125353
2016-09-22,0.9257233960134325,0.07087609957261097,0.149549380519882,0.43405974535552805,0.07008815831690964,0.1583305556935565,0.3015817034556755,0.5864499411689308,-0.05696378730599611,-0.1858919129807916
2016-09-23,0.920051610400483,0.05164559251016617,0.2020643295986158,0.4225376609024135,0.05193434676833344,0.20486998711726423,0.2897918381322403,0.6004431902038092,-0.06847556438942136,-0.16447354958644272
2016-09-26,0.9221359870907339,0.03345097015003889,0.16762750706157967,0.428273417998966,0.0398570092171553,0.17107767390372935,0.278486332247666,0.5932180115469035,-0.0632179892508525,-0.14245821488408472
2016-09-27,0.9233165916134577,0.00968418045777693,0.17706902808671,0.4034900073597437,0.003007228595133141,0.1769908182401635,0.24573513114199952,0.5427870451425072,-0.07629224500065192,-0.18781687495190205
2016-09-28,0.917556658375104,0.030585962405707868,0.21781813837918274,0.3866124598533461,0.02543368197522112,0.21663583099593173,0.20770023017049083,0.5297355824968837,-0.04954264600243977,-0.1403636882309774
2016-09-29,0.9186794657176919,0.020127586520114978,0.19982686328119412,0.3469455232778976,0.013467111606406458,0.20194449925206717,0.1764055946023492,0.5280558772433033,-0.05953323018645389,-0.13657714807872895
2016-09-30,0.9208531329027462,0.011090724245597905,0.17410704971358784,0.3525662329779849,0.009228695183992636,0.1816239655555357,0.19170202061118755,0.5303116818246607,-0.07753716236723247,-0.1423606127359537
2016-10-03,0.9148434699932572,-0.022990109807716215,0.1429212311252135,0.3613476893495928,-0.020688033176580287,0.15401479869868936,0.19223998831221129,0.5235741494067533,-0.0810363282099087,-0.1474711615891662
2016-10-04,0.9130544655795848,0.051527017361523327,0.17358214298688182,0.3693259739498434,0.02193428158297815,0.17581052668180053,0.20272845407176848,0.5288725257782427,-0.07855359927168691,-0.158832971855206
2016-10-05,0.9142467574843408,0.09123728514734707,0.21941301921219933,0.3517041089966435,0.04139656532746976,0.20147561823832139,0.1936424331135681,0.4955658917536241,-0.015196512155742086,-0.0988683298454587
2016-10-06,0.9151562439347058,0.0910256525364222,0.22447438197851272,0.36014311018490286,0.057163554939315096,0.2251515412768582,0.17943547216237363,0.4837401051863203,0.012612429166125658,-0.05585749596458444
2016-10-07,0.9143339214286317,0.10258633488959672,0.26319998371836584,0.3609835012456164,0.06802152234376355,0.26239291036337165,0.17917572813317248,0.47568746417434105,0.01620661912383031,-0.044385498643822796
