candidate_id,price_impact_multiplier,depth_multiplier,liquidity_withdrawal_strength,background_order_multiplier,reaction_time_heterogeneity,volatility_error,drawdown_error,correlation_error,autocorrelation_error,tail_error,weighted_loss
62,0.5,0.75,0.5,0.5,0.35,0.016745991348331837,0.44283548557182506,0.016429201955469822,0.05409853950528397,0.6409011786745974,0.21066025528512916
12,0.25,0.75,0.5,1.0,0.35,0.016743167440012523,0.4428366496655932,0.016428728906035764,0.05411213644978041,0.6409085055345204,0.21066175511131896
68,0.5,0.75,0.75,0.5,0.35,0.016736019437975015,0.44283765527561786,0.01642772624076755,0.05414501114483137,0.6409169374388882,0.21066384252060333
18,0.25,0.75,0.75,1.0,0.35,0.016731784885192266,0.44283940477451617,0.016427021058239087,0.054165367479108904,0.6409278649658932,0.2106660843540606
73,0.5,1.0,0.25,0.5,0.0,0.01707757592687619,0.4433767638756493,0.016503075861107656,0.052799698912214546,0.6402545107345547,0.21074233807765608
3,0.25,0.75,0.25,0.75,0.0,0.01707712421057385,0.4433771831935158,0.016503042754423512,0.05280226996590757,0.6402553487091113,0.2107426626396135
23,0.25,1.0,0.25,1.0,0.0,0.0170766727632232,0.4433776021157123,0.01650300967587591,0.05280483937741548,0.6402561864009704,0.2107429869766944
79,0.5,1.0,0.5,0.5,0.0,0.01707097859581339,0.44338116806792993,0.016502624830634714,0.05283536035463987,0.6402602317578303,0.210745728176497
9,0.25,0.75,0.5,0.75,0.0,0.017070075589533155,0.4433837221268441,0.016502558806630638,0.05284049393017759,0.6402619020340753,0.2107468906726646
29,0.25,1.0,0.5,1.0,0.0,0.01706917363399461,0.4433862720550442,0.01650249289601278,0.05284562107369808,0.6402635711712834,0.21074805151041234
85,0.5,1.0,0.75,0.5,0.0,0.01706438063740958,0.4433956398825842,0.01650217886182422,0.05287100186465025,0.6402659284297989,0.21075213495780792
15,0.25,0.75,0.75,0.75,0.0,0.017063026669262207,0.4433994513341184,0.01650208011445151,0.05287868991188183,0.6402684254361344,0.21075387095870612
35,0.25,1.0,0.75,1.0,0.0,0.01706167501161656,0.4434032535620577,0.01650198162371695,0.05288636378074426,0.6402709198648147,0.21075560326140153
128,0.75,1.0,0.25,0.5,0.35,0.016616423823219494,0.44307797016285233,0.016418051653618433,0.05475185028150772,0.6411532485161126,0.21078243840630728
76,0.5,1.0,0.25,0.75,0.35,0.016615606302078926,0.4430782166652718,0.016417919641292182,0.054755716632171145,0.641155314289419,0.2107828339106227
134,0.75,1.0,0.5,0.5,0.35,0.016604901442169445,0.44307932437264086,0.01641640558261764,0.05480455359208296,0.6411708421736789,0.2107860884375428
82,0.5,1.0,0.5,0.75,0.35,0.016603266131357205,0.44307982134928603,0.016416143084824635,0.05481227422368119,0.6411749509993738,0.21078687738346338
140,0.75,1.0,0.75,0.5,0.35,0.016593367955587343,0.4430806668406455,0.01641477037930603,0.05485723867147181,0.6411883713202975,0.210789725513908
88,0.5,1.0,0.75,0.75,0.35,0.01659091439852315,0.4430814179038605,0.016414378817323327,0.05486880233208894,0.641194501705366,0.21079090585792526
96,0.5,1.25,0.25,1.0,0.35,0.01652927240589386,0.4432179938992259,0.016410511058135832,0.05518223011442922,0.6413163016487223,0.21085613527947827
102,0.5,1.25,0.5,1.0,0.35,0.01651500810207108,0.44321930970857143,0.016408495906499388,0.05524696443194328,0.6413392767744207,0.21086061864512906
108,0.5,1.25,0.75,1.0,0.35,0.016500729104256703,0.44322064628305247,0.016406495724705643,0.055311654028325344,0.6413621317623841,0.2108650903402048
145,0.75,1.25,0.25,0.5,0.0,0.016929224014392914,0.4439205243436792,0.016495544939443354,0.0536565813253694,0.640563583920855,0.21097605001993275
93,0.5,1.25,0.25,0.75,0.0,0.016928662036229374,0.443921942419043,0.016495507790882165,0.053659697763514515,0.6405645640248375,0.21097670907359334
151,0.75,1.25,0.5,0.5,0.0,0.01692102689424122,0.4439361144733864,0.016495035399290207,0.05369975975443132,0.6405700564518514,0.2109831311107746
99,0.5,1.25,0.5,0.75,0.0,0.016919903064691096,0.4439389366100569,0.01649496134036607,0.05370598299959304,0.6405720092698662,0.21098444339744354
157,0.75,1.25,0.75,0.5,0.0,0.016912826091583188,0.4439516047553481,0.016494532017587195,0.05374291853142593,0.640576495480134,0.21099017705875284
105,0.5,1.25,0.75,0.75,0.0,0.016911140417783695,0.4439558173041293,0.016494421291645783,0.053752239534256965,0.6405794137369067,0.21099213690201946
148,0.75,1.25,0.25,0.75,0.35,0.0163555080612,0.4435004068339151,0.016396831223912462,0.05602788225897872,0.6416269484049252,0.21100162377970744
154,0.75,1.25,0.5,0.75,0.35,0.01633996842403796,0.4435027778367557,0.01639475677462324,0.05609671090019508,0.6416500372457936,0.21100645004776158
160,0.75,1.25,0.75,0.75,0.35,0.016324406413806492,0.443505210776704,0.016392696970716054,0.056165515992268114,0.6416730185280556,0.21101127800332872
55,0.5,0.75,0.25,0.5,0.0,0.016827708754406808,0.4442715007209147,0.016491085364690856,0.05423154457759929,0.6407650849555238,0.21112764286884694
5,0.25,0.75,0.25,1.0,0.0,0.01682643049379879,0.4442745024487015,0.01649100662249561,0.05423851491803091,0.6407672232266289,0.21112905502171522
61,0.5,0.75,0.5,0.5,0.0,0.016818391781751534,0.4442876588217821,0.016490542472105654,0.05427981052983388,0.6407719752678568,0.21113510225525028
11,0.25,0.75,0.5,1.0,0.0,0.01681583563221478,0.44429363208352407,0.016490385611198522,0.05429372656164827,0.6407762336521406,0.21113791345834027
67,0.5,0.75,0.75,0.5,0.0,0.016809068504103894,0.44430372569220944,0.01649000648448725,0.05432805790751309,0.6407788249513884,0.21114252784168158
17,0.25,0.75,0.75,1.0,0.0,0.016805234522137176,0.4443126411541776,0.016489772142108755,0.05434889653565983,0.6407851855304594,0.2111467253379281
110,0.75,0.75,0.25,0.5,0.35,0.016177008649515046,0.4437947941468644,0.016384138479118602,0.05687922652867663,0.641930644858735,0.21114935567347873
58,0.5,0.75,0.25,0.75,0.35,0.01617582585775642,0.44379509654801075,0.016383970287553826,0.05688451950825585,0.6419333598917397,0.21114985871924047
78,0.5,1.0,0.25,1.0,0.35,0.016174643703095678,0.44379540054373556,0.01638380237553064,0.056889808873178696,0.6419360719180105,0.2111503618282744
116,0.75,0.75,0.5,0.5,0.35,0.01616037891778728,0.44379629391998304,0.016382041452411938,0.05695115196219998,0.6419532421691836,0.2111538495549518
64,0.5,0.75,0.5,0.75,0.35,0.016158011080754174,0.44379691527639586,0.01638170707977443,0.05696172464328268,0.6419586405054418,0.2111548558379724
84,0.5,1.0,0.5,1.0,0.35,0.016155645719537707,0.4437975426451346,0.016381373784538567,0.0569722832148014,0.6419640271818021,0.21115586230596978
122,0.75,0.75,0.75,0.5,0.35,0.016143720302599644,0.44379789746824966,0.016379958721521946,0.057023072629920124,0.6419757461529778,0.211158358953849
70,0.5,0.75,0.75,0.75,0.35,0.016140164899377023,0.44379885361312843,0.01637946003846446,0.05703891285453207,0.6419837977202345,0.21115986861892122
90,0.5,1.0,0.75,1.0,0.35,0.016136614914814797,0.4437998225542034,0.01637896369298005,0.05705472207272201,0.6419918238227508,0.21116137856884876
127,0.75,1.0,0.25,0.5,0.0,0.01669786186555788,0.4446929998724934,0.016486142760462612,0.05495448816417194,0.6410117129465958,0.21131110718458468
75,0.5,1.0,0.25,0.75,0.0,0.016697121557610876,0.44469460221231377,0.0164861010714453,0.05495844388834149,0.6410128872119505,0.21131187045529565
133,0.75,1.0,0.5,0.5,0.0,0.016687084457649295,0.44470980538538385,0.016485564424521863,0.05500920135033914,0.6410190283358448,0.21131900280643268
81,0.5,1.0,0.5,0.75,0.0,0.01668560325409526,0.44471299669854336,0.01648548136096504,0.05501710196177574,0.6410213663969029,0.21132052309385246
139,0.75,1.0,0.75,0.5,0.0,0.016676296785938426,0.44472653613205493,0.016484993921506493,0.055063898377583645,0.6410262930065106,0.21132686779810872
130,0.75,1.0,0.25,0.75,0.35,0.01594409881764662,0.444149066843175,0.01636923983037622,0.057965131070019715,0.642307141780692,0.21132902494939287
87,0.5,1.0,0.75,0.75,0.0,0.016674073945395017,0.4447313035358942,0.0164848698046966,0.05507573377644772,0.6410297845367362,0.21132913903664446
136,0.75,1.0,0.5,0.75,0.35,0.015923276785966112,0.4441504571099026,0.01636675144349134,0.05805303558848547,0.6423350312814375,0.21133427714445113
142,0.75,1.0,0.75,0.75,0.35,0.015902409897322854,0.4441520468547048,0.016364281066234148,0.05814093475159878,0.6423627756999382,0.2113395642840088
95,0.5,1.25,0.25,1.0,0.0,0.016616767345509733,0.4449412914954417,0.01648342875110121,0.05539902445084362,0.6411593059131285,0.2114199364389029
101,0.5,1.25,0.5,1.0,0.0,0.0166034739141075,0.44496176750318084,0.016482747644715794,0.05546610668288571,0.641169265543338,0.21142965917675205
150,0.75,1.25,0.25,1.0,0.35,0.015799727312298874,0.44435621921517987,0.01636092399585571,0.05862531495517126,0.6425296071873619,0.21143446097166807
107,0.5,1.25,0.75,1.0,0.0,0.016590166061683113,0.44498215457306056,0.016482075733855742,0.05553314951723489,0.6411791436311346,0.21143934065203118
156,0.75,1.25,0.5,1.0,0.35,0.015775498795247395,0.4443578363596831,0.016358114777698145,0.05872622992545923,0.6425621514347627,0.21144046163804098
162,0.75,1.25,0.75,1.0,0.35,0.015751212388259498,0.4443597350406942,0.016355327374739093,0.05882712917274764,0.6425944924949953,0.21144651187040825
60,0.5,0.75,0.25,1.0,0.35,0.015538374898606707,0.4447171874256569,0.01634779417163674,0.059798342520487026,0.6429102584832509,0.21161708763198023
66,0.5,0.75,0.5,1.0,0.35,0.015510374295080167,0.44471893588565237,0.01634474851030402,0.05991196084166328,0.6429456261670767,0.21162350145715453
72,0.5,0.75,0.75,1.0,0.35,0.015482294849920645,0.4447210709218162,0.01634172675465266,0.060025582928743826,0.6429807569930072,0.2116299890746267
147,0.75,1.25,0.25,0.75,0.0,0.016454891330966462,0.4454240539101946,0.016478971692353787,0.05627270749995507,0.6414418977448604,0.21163093843530062
153,0.75,1.25,0.5,0.75,0.0,0.016440376703248112,0.44544593517867437,0.016478302769966872,0.05634408942315357,0.6414510247935983,0.2116410655402453
159,0.75,1.25,0.75,0.75,0.0,0.01642584083682274,0.44546777235058793,0.016477643817047975,0.05641545217155074,0.6414600651303832,0.21165116444982618
112,0.75,0.75,0.25,0.75,0.35,0.015200754431003539,0.44516094725916205,0.0163339931207541,0.06127481869161505,0.6433647941679101,0.21183927041715303
132,0.75,1.0,0.25,1.0,0.35,0.015198688863356749,0.4451613411669643,0.016333763224150248,0.061283202478553345,0.6433687068906355,0.21183995259084532
109,0.75,0.75,0.25,0.5,0.0,0.016288494477602812,0.44592270766156183,0.016475529123000994,0.05715230893071817,0.6417153933967736,0.21184523669909877
118,0.75,0.75,0.5,0.75,0.35,0.015169781363867079,0.4451629334389545,0.016330896731288513,0.06139643556376234,0.6433995590765254,0.21184559325113295
57,0.5,0.75,0.25,0.75,0.0,0.016287421444456076,0.4459247664531019,0.016475483818088558,0.057157723325802476,0.6417168350955332,0.21184620897501868
138,0.75,1.0,0.5,1.0,0.35,0.01516564194107273,0.44516377881005054,0.016330440536921613,0.061413183267783354,0.6434073222239036,0.21184696488189
