market,participation,similarity,shock,safeguard,seed,realised_volatility,maximum_drawdown,mean_pairwise_correlation,peak_herding,peak_asset_herding,mean_depth,mean_spread_or_cost,mean_absolute_order_flow,normalised_liquidity_deterioration,recovery_time,price_recovery_time,volatility_recovery_time,liquidity_recovery_time,pre_volatility,pre_correlation,pre_depth,pre_price_level,shock_volatility,shock_correlation,shock_depth,shock_price_level,recovery_volatility,recovery_correlation,recovery_depth,recovery_price_level,robustness_case
traditional,0.5,0.9,liquidity,none,101,0.45814855502936924,0.7020503627739826,0.7347918470375141,1.0,1.0,0.3084148802799574,0.007645574985702742,0.5877876834910246,0.9712877737755093,12.0,260.0,17.0,27.0,0.020884068417533746,0.019604709102331974,0.9064110508951276,100.0851672880011,0.456488762912213,0.7277663207031703,0.02604358836506902,47.648722983995576,0.03788171338867811,0.29032447560158975,0.5907861721948457,50.22608552963684,baseline
traditional,0.5,0.9,liquidity,none,173,0.41751466294541284,0.7022911719356402,0.7050943506197906,1.0,1.0,0.30090935532109725,0.0076344465073607745,0.6330543046531544,0.9710614263412312,54.0,260.0,75.0,30.0,0.01554264661934741,0.03509928284934281,0.9103348211218847,100.76656562770059,0.41293836323178335,0.6964648890809129,0.02635209211172024,48.14392260476945,0.04789164329454895,0.21847117137244648,0.5754666185304742,46.88694041787087,baseline
traditional,0.5,0.9,liquidity,none,257,0.4135647580320427,0.6980854772812531,0.7241821529924825,1.0,1.0,0.3063232693136464,0.007459529563322325,0.595877124547955,0.9709067343091259,9.0,260.0,17.0,28.0,0.016271621332235538,0.06436767764650315,0.909294280263764,100.00759178949019,0.4116790221666008,0.7072186782308945,0.026483433832934757,49.573065938573585,0.036195254469443223,0.49263471393804686,0.586163104794358,45.29934751921492,baseline
amm,0.5,0.9,fundamental,none,11,0.025368087031673554,0.10483784213977396,-0.04298816275190878,0.35172413793103446,1.0,33.75845328037643,0.005238239907939332,0.27432939443068655,0.008559935635922167,7.0,0.0,14.0,0.0,0.01150596820397369,-0.11675062378973396,34.354389612170124,97.31730929746087,0.020243577039360458,-0.07136198946934454,34.07007652692017,95.72164977843117,0.014145040660221464,-0.01712439028757399,33.4468300338327,92.43029498239862,baseline
amm,0.5,0.9,fundamental,none,47,0.02397534366785793,0.13419846386922019,-0.07708452504571801,0.3611111111111111,1.0,34.19416636228858,0.005144918983019815,0.271030016430132,0.008327967726309504,6.0,0.0,15.0,0.0,0.011299571925971155,-0.14961774249913312,34.57657619271676,98.90163407263843,0.018366499100979126,-0.0776249516185779,34.300842830353574,97.38782410634165,0.014357716255998614,-0.0837929115873942,34.08748989422359,96.54060245358782,baseline
amm,0.5,0.9,fundamental,none,101,0.023629316735246444,0.10668434798941964,-0.010913243698508013,0.3959731543624161,1.0,34.40791362793234,0.005162141682207395,0.26357641218002426,0.009346892532309026,4.0,0.0,10.0,0.0,0.013738616298107978,-0.10767216991660053,35.05205864293468,101.40290125155012,0.018695485576204672,0.0209167338868645,34.74124842430751,99.64478602674455,0.013283623952752066,0.045724813924580957,34.07457883155717,96.00832969476805,baseline
amm,0.5,0.9,fundamental,none,173,0.0243900908948333,0.1141934856414714,-0.08031949651633988,0.4125874125874126,1.0,34.722709609424435,0.005202035433373406,0.3008316302235112,0.0026588233701781983,0.0,0.0,4.0,0.0,0.013597551451825443,-0.11201138978888389,34.948075233667346,100.81439763344282,0.019741332027512295,-0.06254714609536287,34.85251111423923,100.45913082768662,0.01347315021982092,-0.086054887957758,34.592908104609634,99.13663426282456,baseline
amm,0.5,0.9,fundamental,none,257,0.026369476173223754,0.0997796013510387,-0.0932759181667028,0.35172413793103446,1.0,34.605413174703266,0.005310142695330489,0.2785610269876103,0.012433907723248039,3.0,0.0,0.0,0.0,0.01592337988680916,-0.08913842827189096,35.19960973814039,102.62823434545065,0.018209855062143527,-0.11855371759754489,34.7534540298294,100.1731993949554,0.01817615957477047,-0.05339988755519194,34.45737231957712,98.85630592102372,baseline
amm,0.5,0.9,volatility,none,11,0.02219873139831018,0.059942897476285326,-0.030031776454094123,0.38666666666666666,1.0,34.368319890303745,0.004955336143343182,0.26711974358867807,-0.00033107468528181805,3.0,0.0,8.0,0.0,0.01150596820397369,-0.11675062378973396,34.354389612170124,97.31730929746087,0.018114756404511552,0.01714280136031086,34.37560926957703,97.3723380349187,0.012791898862693598,-0.12192703460737694,34.36103051103045,97.29207663699076,baseline
amm,0.5,0.9,volatility,none,47,0.024214774364225526,0.06229174554066005,-0.004968580434820724,0.38028169014084506,1.0,35.01974174390346,0.005095830388695675,0.28456940727583935,-0.01184223581148669,1.0,0.0,6.0,0.0,0.011299571925971155,-0.14961774249913312,34.57657619271676,98.90163407263843,0.019475632014631778,0.04622761044094602,34.998507944312585,101.38926991430722,0.014294679725474884,-0.13020284356611392,35.04097554349434,101.5407920371785,baseline
