robustness_case,market,shock,realised_volatility_mean,realised_volatility_std,realised_volatility_count,maximum_drawdown_mean,maximum_drawdown_std,maximum_drawdown_count,mean_pairwise_correlation_mean,mean_pairwise_correlation_std,mean_pairwise_correlation_count,normalised_liquidity_deterioration_mean,normalised_liquidity_deterioration_std,normalised_liquidity_deterioration_count,recovery_time_mean,recovery_time_std,recovery_time_count
mild_shock,amm,fundamental,0.022370879502275304,0.0011731097049827487,5,0.09680700784255929,0.013560612359596805,5,-0.05764859139967822,0.030933260943807696,5,0.0038893183739116656,0.0035877291199116336,5,4.2,2.949576240750525,5
mild_shock,amm,liquidity,0.028496673917016057,0.0018210696199087342,5,0.07783746162778041,0.016973698937455477,5,-0.12522506527176563,0.02208821757246967,5,0.253362348583192,0.0025256365146803647,5,9.0,9.300537618869138,5
mild_shock,amm,volatility,0.02129351701887286,0.0011433644209877952,5,0.06661470830378141,0.013750275680788382,5,-0.0533904243220128,0.029574951923879003,5,5.061444949761018e-06,0.0055523719251276095,5,2.2,2.3874672772626644,5
mild_shock,traditional,fundamental,0.02966573998487108,0.0021981750177408597,5,0.10177030379773362,0.006016191886752685,5,0.03155129125589597,0.05450301043190389,5,0.0024791863215899213,0.004876428091028059,5,3.0,2.23606797749979,5
mild_shock,traditional,liquidity,0.4243685223485166,0.026819178715606008,5,0.698808816462784,0.004554518357420223,5,0.7080460865635974,0.05857465956052849,5,0.9089626131427568,0.0012497517548701962,5,27.4,15.773395322504284,5
mild_shock,traditional,volatility,0.030406846539326782,0.0023547974071305854,5,0.08253837848106524,0.02101287332587042,5,0.059694148791916445,0.04371665038095718,5,0.005756507086835417,0.00786024160983506,5,1.8,1.6431676725154984,5
more_fundamental_traders,amm,fundamental,0.02365313039149358,0.0005008387777131019,5,0.10809210984946709,0.008983883847623194,5,-0.10682576961098841,0.03746242959014604,5,0.011924169430870556,0.00260133435590159,5,1.2,0.8366600265340756,5
more_fundamental_traders,amm,liquidity,0.027420180220229108,0.0009645136988481737,5,0.07219035182770255,0.00709227855398496,5,-0.1456808511741368,0.023991447268615466,5,0.25597555038698355,0.0019497321407822498,5,2.8,2.7748873851023212,5
more_fundamental_traders,amm,volatility,0.023872709805583123,0.002747814995192581,5,0.07459933641683378,0.015166974808092988,5,-0.03946434874503802,0.03142181756194408,5,0.0010074913897515137,0.004675364648473982,5,4.2,3.1937438845342623,5
more_fundamental_traders,traditional,fundamental,0.03242572752197774,0.0034810715925987002,5,0.11412529682294723,0.01694777733854225,5,0.016159494183184655,0.01612027047897802,5,0.0033909918417244,0.010473145394826624,5,3.2,3.1144823004794873,5
more_fundamental_traders,traditional,liquidity,0.40399349690438296,0.017991555764116793,5,0.6565550248021593,0.00531971465690168,5,0.6776016087443628,0.020277679120174308,5,0.9707656992930872,0.00021167001860183626,5,24.4,18.379336223052235,5
more_fundamental_traders,traditional,volatility,0.03586358199585288,0.0037986426529746944,5,0.08809742014862898,0.02181222389204981,5,0.10834544718241981,0.043802401227383374,5,0.009548295730407474,0.012203140951787742,5,2.4,3.0495901363953815,5
more_noise_traders,amm,fundamental,0.022866317490241077,0.0007402456664009208,5,0.10979797199998145,0.014459362686816529,5,-0.10398453017301712,0.015129201918917033,5,0.01148406319096702,0.0015038547899404006,5,1.0,1.414213562373095,5
more_noise_traders,amm,liquidity,0.02681610914865103,0.001991261271626756,5,0.07609534955382613,0.014793610788490515,5,-0.16282867603573964,0.016791837400734113,5,0.2553991852749635,0.0011131797876300492,5,3.6,4.9295030175464944,5
more_noise_traders,amm,volatility,0.021294161162830925,0.001903502761071876,5,0.05344318719728754,0.01414188052324997,5,-0.05692985888982288,0.05042763998673321,5,-0.00180897893004468,0.006787766256858543,5,3.6,2.3021728866442674,5
more_noise_traders,traditional,fundamental,0.028621266566686045,0.001715136698883294,5,0.12024700189296497,0.015307721838374207,5,0.01685128168135295,0.05461837099984562,5,0.0017642868403583423,0.005845010456598427,5,1.4,2.1908902300206643,5
more_noise_traders,traditional,liquidity,0.43355388554418217,0.011112560755016428,5,0.7463301237451503,0.004976065548699897,5,0.7797708637058676,0.017703048092008154,5,0.9710962037880364,0.00010859922152785653,5,10.6,3.847076812334269,5
more_noise_traders,traditional,volatility,0.036375311906092105,0.002054004073054398,5,0.08055932617200268,0.016680020770089652,5,0.05794620425765301,0.037396893714212155,5,0.015434471370074277,0.005489167415583631,5,1.2,0.8366600265340756,5
severe_shock,amm,fundamental,0.027433360087176485,0.0010450157528092475,5,0.1255427670738442,0.01339504658436157,5,-0.0627566311241476,0.03466501193771834,5,0.012527765831365834,0.003490725191968358,5,3.2,2.16794833886788,5
severe_shock,amm,liquidity,0.028496673917016057,0.0018210696199087342,5,0.07783746162778041,0.016973698937455477,5,-0.12522506527176563,0.02208821757246967,5,0.253362348583192,0.0025256365146803647,5,9.0,9.300537618869138,5
severe_shock,amm,volatility,0.026353621427815478,0.001346096959001248,5,0.07297563980546609,0.013643895554093484,5,0.008244971180181542,0.023796891609972923,5,0.0007549511248138962,0.009401023623172388,5,3.0,2.449489742783178,5
severe_shock,traditional,fundamental,0.03509328083079562,0.0020559053998019136,5,0.1307051686722273,0.0063586063333815925,5,0.003974068212190861,0.04683348576474591,5,0.006174916807627407,0.004763613034188332,5,3.4,2.6076809620810595,5
severe_shock,traditional,liquidity,0.4271054178495355,0.015846447752456774,5,0.7015371409109001,0.004261524230828381,5,0.7132320606797273,0.02349212993197863,5,0.995978223940155,1.9497405170617536e-05,5,17.2,9.093954035511727,5
severe_shock,traditional,volatility,0.0424964836245289,0.0035937043778248583,5,0.09268266039041255,0.02387027338227777,5,0.0638127108379797,0.038297195604374126,5,0.019824565688164042,0.008497473881712403,5,1.6,1.816590212458495,5
short_signals,amm,fundamental,0.025270899911227773,0.0011459398921472798,5,0.11231161337191557,0.0134879335060056,5,-0.06913998300696611,0.0330608961573437,5,0.008375863166174047,0.0035894221947732935,5,3.2,2.588435821108957,5
short_signals,amm,liquidity,0.031430937278508896,0.003036953369430516,5,0.07953702889045755,0.01661627740393272,5,-0.14024862654041517,0.025549242259566785,5,0.25332843918764303,0.002549990787203994,5,9.4,12.320714265009151,5
short_signals,amm,volatility,0.02395287837002828,0.0010417883723820083,5,0.0697904600240958,0.013342769648828233,5,-0.03148854328449901,0.017227399733612314,5,0.00043977732027393744,0.007544180243615772,5,2.0,1.0,5
short_signals,traditional,fundamental,0.03235669097090994,0.0022717754166313438,5,0.11710624644121066,0.006433658644165667,5,0.014373583371210868,0.05186487052630042,5,0.003320685404960644,0.005910098363619129,5,1.6,2.6076809620810595,5
short_signals,traditional,liquidity,0.4675140393705794,0.021971164701188303,5,0.6996561731680141,0.002444990487823874,5,0.6514773232568206,0.021580339426101224,5,0.97073141257697,0.0002615148089964128,5,32.4,15.42076522096099,5
short_signals,traditional,volatility,0.03606842144387677,0.0030483549211349835,5,0.0868097169346865,0.02211282012667575,5,0.05424143677762674,0.035642759404959826,5,0.016017595745121405,0.011552511473417489,5,1.2,1.3038404810405297,5
slow_rebalancing,amm,fundamental,0.02092386406787336,0.0012456751718064845,5,0.10937061338459309,0.013382274411922272,5,0.007798558967783828,0.03567387694398095,5,0.008255651864798996,0.003519095699629157,5,2.2,0.8366600265340756,5
slow_rebalancing,amm,liquidity,0.020178634247964605,0.0017253799251338866,5,0.07311708203982642,0.016015157897503688,5,-0.04147105357230681,0.034441733684613465,5,0.25336500368468,0.0025412280966084027,5,7.0,7.106335201775948,5
slow_rebalancing,amm,volatility,0.01965133685009899,0.0011600087725047073,5,0.06740815462490428,0.013116587560849786,5,0.04076210750474239,0.029243863187867113,5,0.00038068525237133777,0.007455400362187821,5,2.6,2.701851217221259,5
slow_rebalancing,traditional,fundamental,0.030728984030602056,0.0019307400375526266,5,0.11449978904774982,0.006719219120120973,5,0.03928815730431477,0.05126925135312939,5,0.004972539579188218,0.0032609062105673323,5,3.2,2.6832815729997477,5
slow_rebalancing,traditional,liquidity,0.31012653802818624,0.01910892746030274,5,0.6268011907497539,0.004368289767369258,5,0.5709794393724038,0.043499795218860035,5,0.9696707760322901,7.735311951769273e-05,5,17.2,4.43846820423443,5
slow_rebalancing,traditional,volatility,0.0343357318192505,0.002931597419733081,5,0.08401687994105281,0.022091434612189355,5,0.08143239442811392,0.04384296285838927,5,0.01322034290539036,0.006816230972677603,5,2.0,1.224744871391589,5
